mc_id,location_id,version,geometry,events,pure_class,mixed_dominant_class,mixed_second_dominant_class,s2_l2_bands,era5,cci_landcover_map,copernicus_dem,de_africa_climatology,event_arrays,s2cloudless_cloudmask,sen2cor_cloudmask,unetmobv2_cloudmask,earthnet_cloudmask,remarks,continent
mc_-121.52_43.17_1.3_20230910_0,-121.52_43.17,1.3,"POLYGON ((-121.53784714053862 43.16115596976784, -121.50381380351169 43.16115596976784, -121.50381380351169 43.18606489649663, -121.53784714053862 43.18606489649663, -121.53784714053862 43.16115596976784))",[],-,needletree,grassland,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-121.60_37.22_1.3_20230910_0,-121.60_37.22,1.3,"POLYGON ((-121.61126361836138 37.2112695592329, -121.58039879850419 37.2112695592329, -121.58039879850419 37.2359516427941, -121.61126361836138 37.2359516427941, -121.61126361836138 37.2112695592329))",[],-,mixedtree,grassland,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-121.62_45.52_1.3_20230910_0,-121.62_45.52,1.3,"POLYGON ((-121.63858670247204 45.51112864512767, -121.60307348701366 45.51112864512767, -121.60307348701366 45.53609205579779, -121.63858670247204 45.53609205579779, -121.63858670247204 45.51112864512767))","[(37690, '2021-07-29', '2021-08-02')]",-,needletree,soil,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-121.63_39.18_1.3_20230910_0,-121.63_39.18,1.3,"POLYGON ((-121.64783954596373 39.16679290668585, -121.61604465921202 39.16679290668585, -121.61604465921202 39.191539295007615, -121.64783954596373 39.191539295007615, -121.64783954596373 39.16679290668585))",[],-,grassland,urban,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-121.64_36.97_1.3_20230910_0,-121.64_36.97,1.3,"POLYGON ((-121.65564579407048 36.961278406098614, -121.62490556209225 36.961278406098614, -121.62490556209225 36.985942804793886, -121.65564579407048 36.985942804793886, -121.65564579407048 36.961278406098614))",[],-,needletree,mixedtree,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-121.64_37.10_1.3_20230910_0,-121.64_37.10,1.3,"POLYGON ((-121.65845166029348 37.086276350171715, -121.6276552253285 37.086276350171715, -121.6276552253285 37.110944853724554, -121.65845166029348 37.110944853724554, -121.65845166029348 37.086276350171715))",[],-,urban,grassland,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-121.67_39.28_1.3_20230910_0,-121.67_39.28,1.3,"POLYGON ((-121.6895266582835 39.26957303384023, -121.65769085441381 39.26957303384023, -121.65769085441381 39.29431471320615, -121.6895266582835 39.29431471320615, -121.6895266582835 39.26957303384023))",[],-,grassland,urban,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-121.77_42.93_1.3_20230910_0,-121.77_42.93,1.3,"POLYGON ((-121.78495936843133 42.91952061553425, -121.75114607758127 42.91952061553425, -121.75114607758127 42.94436690485955, -121.78495936843133 42.94436690485955, -121.78495936843133 42.91952061553425))",[],-,needletree,grassland,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-121.75_50.34_1.3_20230910_0,-121.75_50.34,1.3,"POLYGON ((-121.77097444978095 50.32496128350744, -121.73179491355508 50.32496128350744, -121.73179491355508 50.35003683109214, -121.77097444978095 50.35003683109214, -121.77097444978095 50.32496128350744))","[(15166, '2018-08-07', '2018-08-12')]",-,grassland,needletree,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-121.88_37.60_1.3_20230910_0,-121.88_37.60,1.3,"POLYGON ((-121.89742622991152 37.58351242642548, -121.86645831908871 37.58351242642548, -121.86645831908871 37.60815317032799, -121.89742622991152 37.60815317032799, -121.89742622991152 37.58351242642548))",[],-,grassland,urban,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
