,mc_id,path,location_id,version,geometry,creation_date,modification_date,events,s2_l2_bands,era5,cci_landcover_map,copernicus_dem,de_africa_climatology,event_arrays,s2cloudless_cloudmask,sen2cor_cloudmask,unetmobv2_cloudmask,earthnet_cloudmask,remarks
2195,mc_38.00_58.00_1.1_20230602_0,deepextremes-minicubes/1.1/mc_38.00_58.00_1.1_20230602_0.zarr,38.00_58.00,1.1,"POLYGON ((37.97544447575544 57.98908458664191, 38.021791418492384 57.98908458664191, 38.021791418492384 58.013690244616576, 37.97544447575544 58.013690244616576, 37.97544447575544 57.98908458664191))",2023-05-07 11:25:53,2023-06-04 04:38:00,"[(36605, '2021-06-19T00:00:00.0', '2021-06-28T00:00:00.0')]",1.0,1.0,2.0,2.0,-1.0,2.0,1.0,-1.0,-1.0,1.0,
2288,mc_43.00_28.75_1.1_20230602_0,deepextremes-minicubes/1.1/mc_43.00_28.75_1.1_20230602_0.zarr,43.00_28.75,1.1,"POLYGON ((42.98509477864734 28.73669771550375, 43.01213030110495 28.73669771550375, 43.01213030110495 28.760523588240737, 42.98509477864734 28.760523588240737, 42.98509477864734 28.73669771550375))",2023-05-04 22:01:33,2023-06-04 07:20:35,"[(15793, '2018-09-01T00:00:00.0', '2018-09-07T00:00:00.0')]",1.0,1.0,2.0,2.0,-1.0,2.0,1.0,-1.0,-1.0,1.0,
2426,mc_58.25_49.25_1.1_20230602_0,deepextremes-minicubes/1.1/mc_58.25_49.25_1.1_20230602_0.zarr,58.25_49.25,1.1,"POLYGON ((58.22948575537332 49.2388656379385, 58.267744387379985 49.2388656379385, 58.267744387379985 49.263910338956094, 58.22948575537332 49.263910338956094, 58.22948575537332 49.2388656379385))",2023-05-31 05:22:59,2023-06-04 10:50:56,"[(28815, '2020-07-11T00:00:00.0', '2020-07-21T00:00:00.0')]",1.2,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
2487,mc_140.25_-28.00_1.1_20230602_0,deepextremes-minicubes/1.1/mc_140.25_-28.00_1.1_20230602_0.zarr,140.25_-28.00,1.1,"POLYGON ((140.235090004558 -28.010613250281597, 140.26213494833797 -28.010613250281597, 140.26213494833797 -27.986608206840707, 140.235090004558 -27.986608206840707, 140.235090004558 -28.010613250281597))",2023-06-04 12:41:52,2023-06-04 12:41:52,"[(12364, '2018-01-20T00:00:00.0', '2018-01-28T00:00:00.0')]",1.3,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
2530,mc_149.25_70.25_1.1_20230602_0,deepextremes-minicubes/1.1/mc_149.25_70.25_1.1_20230602_0.zarr,149.25_70.25,1.1,"POLYGON ((149.21046015596426 70.23570010406677, 149.28679834745486 70.23570010406677, 149.28679834745486 70.26151764670517, 149.21046015596426 70.26151764670517, 149.21046015596426 70.23570010406677))",2023-06-04 13:56:46,2023-06-04 13:56:46,"[(29150, '2020-07-20T00:00:00.0', '2020-07-26T00:00:00.0')]",1.3,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
2695,mc_-91.75_17.00_1.1_20230602_0,deepextremes-minicubes/1.1/mc_-91.75_17.00_1.1_20230602_0.zarr,-91.75_17.00,1.1,"POLYGON ((-91.76376021799845 16.986706605282226, -91.73901613110515 16.986706605282226, -91.73901613110515 17.010515514840105, -91.76376021799845 17.010515514840105, -91.76376021799845 16.986706605282226))",2023-06-04 19:19:53,2023-06-04 19:19:53,"[(23285, '2020-03-01T00:00:00.0', '2020-04-28T00:00:00.0')]",1.3,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
2760,mc_140.25_-26.75_1.1_20230602_0,deepextremes-minicubes/1.1/mc_140.25_-26.75_1.1_20230602_0.zarr,140.25_-26.75,1.1,"POLYGON ((140.23526384117412 -26.760594939316974, 140.26196094085273 -26.760594939316974, 140.26196094085273 -26.736626576929037, 140.23526384117412 -26.736626576929037, 140.23526384117412 -26.760594939316974))",2023-06-04 21:13:55,2023-06-04 21:13:55,"[(12542, '2018-02-11T00:00:00.0', '2018-02-21T00:00:00.0')]",1.3,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
2809,mc_175.75_63.00_1.1_20230602_0,deepextremes-minicubes/1.1/mc_175.75_63.00_1.1_20230602_0.zarr,175.75_63.00,1.1,"POLYGON ((175.721572204616 62.989090719452975, 175.77566960868268 62.989090719452975, 175.77566960868268 63.013683364547816, 175.721572204616 63.013683364547816, 175.721572204616 62.989090719452975))",2023-06-04 22:51:35,2023-06-04 22:51:35,"[(3710, '2016-07-11T00:00:00.0', '2016-07-23T00:00:00.0')]",1.3,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
2874,mc_-67.75_-12.00_1.1_20230602_0,deepextremes-minicubes/1.1/mc_-67.75_-12.00_1.1_20230602_0.zarr,-67.75_-12.00,1.1,"POLYGON ((-67.76336073984602 -12.013175103116884, -67.73941606635213 -12.013175103116884, -67.73941606635213 -11.989602776714108, -67.76336073984602 -11.989602776714108, -67.76336073984602 -12.013175103116884))",2023-05-23 09:13:00,2023-06-05 00:49:51,"[(31833, '2020-09-30T00:00:00.0', '2020-10-15T00:00:00.0')]",1.2,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
3116,mc_103.75_11.75_1.1_20230602_0,deepextremes-minicubes/1.1/mc_103.75_11.75_1.1_20230602_0.zarr,103.75_11.75,1.1,"POLYGON ((103.73670659664677 11.73688017433099, 103.76051659301622 11.73688017433099, 103.76051659301622 11.760341952235734, 103.73670659664677 11.760341952235734, 103.73670659664677 11.73688017433099))",2023-05-24 00:45:39,2023-06-05 06:02:55,"[(2459, '2016-04-09T00:00:00.0', '2016-04-19T00:00:00.0')]",1.2,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
